slug,term,opus_sound,opus_codes,sonnet_sound,sonnet_codes,detector_codes
grant-related-to-an-asset,Grant Related to an Asset,True,,True,,DANGLING;PENDING
grant-related-to-income,Grant Related to Income,True,,True,,DANGLING;PENDING
gross-eligible-charges,gross eligible charges,True,,True,,
gross-margin,Gross Margin,True,,True,,
gross-premium,gross premium,True,,True,,CIRC
group-insurance,group insurance,True,,True,,
group-participating-pension-contracts,Group participating pension contracts,True,,True,,
grove,grove,True,,True,,
growing-crop,growing crop,True,,True,,
guaranteed-interest-rate,guaranteed interest rate,True,,True,,
guaranteed-investment-option,guaranteed investment options,True,,True,,
guaranteed-minimum-accumulation-benefit,guaranteed minimum accumulation benefit,False,SELF;UNDEF,True,,
guaranteed-minimum-income-benefit,Guaranteed Minimum Income Benefit,True,,True,,
guaranteed-minimum-withdrawal-benefit,guaranteed minimum withdrawal benefit,True,,True,,
harvested-crop,harvested crop,True,,True,,
hazardous-substance,hazardous substance,True,,False,NONAUTH,
hazardous-waste,hazardous waste,True,,False,NONAUTH,
hazardous-waste-constituent,hazardous waste constituents,True,MALFORMED,False,NONAUTH;UNDEF,
health-and-welfare-benefit-plans,health and welfare benefit plans,True,,True,,
health-care-cost-trend-rate,health care cost trend rates,True,,True,,
health-insurance-claims,Health Insurance Claims,True,,True,,
health-maintenance-organization,health maintenance organizations,True,,True,,
hedged-layer,Hedged Layer,True,,True,,
high-yield-debt-securities,high-yield debt securities,True,,True,CIRC,CIRC
highest-and-best-use,Highest and Best Use,True,,True,,
historical-cost,historical cost,True,,True,,
historical-cost-constant-purchasing-power-accounting,historical cost-constant purchasing power accounting,True,,True,,
holding-gain-or-loss,Holding Gain or Loss,True,,True,,
holding-period,Holding period,True,,True,,
homeowners-association,homeowners association,True,POINTER,False,POINTER,POINTER
hosting-arrangement,Hosting Arrangement,True,,True,,
hybrid-instrument,hybrid instrument,True,UNDEF,True,,
identifiable,Identifiable,True,,True,,
idle-time,idle time,True,,True,,
if-converted-method,if-converted method,True,,True,,
immediate-bonus,immediate bonus,True,,True,,
immediate-family,immediate family,False,INCONS;POINTER,False,NONAUTH;POINTER,DANGLING;POINTER
impaired-claims,impaired claims,True,MALFORMED,True,,
impairment,Impairment,False,INCONS,True,,
implicit-service-period,implicit,True,MALFORMED,False,MALFORMED,
imputed-interest-rate,imputed interest rate,True,,True,,
in-force,in force,True,,True,,
in-substance-nonfinancial-asset,In Substance Nonfinancial Asset,False,POINTER,False,POINTER,POINTER
in-force-policies,in-force policies,True,,True,,
in-substance-common-stock,in-substance common stock,True,,True,,
in-substance-defeasance,in-substance defeasance,True,STALE,True,,
inactive-employees,Inactive Employees,True,,True,,
incidental-operations,incidental operations,True,,True,,
income-approach,Income Approach,True,,True,,
income-available-to-common-stockholders,income available to common stockholders,True,,True,,
income-from-continuing-operations,Income from Continuing Operations,True,STALE,True,,
income-tax-expense-or-benefit,income tax expense (or benefit),True,,True,,
income-taxes,Income Taxes,True,,True,,
income-taxes-currently-payable-refundable,income taxes currently payable,True,POINTER,False,POINTER,DANGLING;POINTER
income-producing-real-estate,income-producing real estate,True,,True,,
incremental-borrowing-rate,Incremental Borrowing Rate,True,,True,,
incremental-costs-of-incidental-operations,Incremental Costs from Incidental Operations,True,,True,,
incremental-direct-cost-of-contract-acquisition,Incremental Direct Cost of Contract Acquisition,True,,True,,
incremental-direct-costs,incremental direct costs,True,,True,,
incremental-revenues-from-incidental-operations,Incremental Revenue from Incidental Operations,True,,True,,
incurred-but-not-reported,incurred but not reported,True,,True,,
incurred-claims-cost-by-age,incurred claims cost,True,,False,MALFORMED;UNDEF,
incurred-cost,incurred cost,True,MALFORMED,True,,
incurred-losses,incurred losses,True,,True,,
incurred-but-not-reported-claims,incurred-but-not-reported claims,True,,True,,
indirect-effects-of-a-change-in-accounting-principle,indirect effects of a change in accounting principle,True,,True,,
indirect-guarantee-of-indebtedness,Indirect Guarantee of Indebtedness,True,,True,,
indirect-loan,indirect loan,True,,True,,
indirect-project-costs,Indirect project costs,True,,True,,
infrequency-of-occurrence,Infrequency of Occurrence,True,MALFORMED,True,,
inherent-contribution,Inherent Contribution,True,,True,,
initial-direct-costs,Initial Direct Costs,True,,True,,
initiation-or-front-end-fees,initiation or front-end fees,True,,True,,
inputs,Inputs,True,,True,,
insurance-contract,insurance contracts,True,,False,SCOPECONF,
insurance-policy,insurance policy,True,,True,INCONS,
insurance-risk,insurance risk,True,,True,,
intangible-asset-class,intangible asset class,True,,True,,
intangible-assets,Intangible Assets,True,,True,,
integral-equipment,Integral Equipment,True,,True,,
integrated-contract-feature,integrated contract features,True,INCONS,True,,
intended-use,intended use,True,,True,,
interest-cost-component-of-net-periodic-pension-cost,Interest cost,False,HOMONYM,False,HOMONYM,HOMONYM
interest-cost-component-of-net-periodic-postretirement-benefit-cost,Interest cost,False,HOMONYM,False,HOMONYM,HOMONYM
interest-cost,Interest Cost,False,HOMONYM,False,HOMONYM,HOMONYM
interest-method,interest method,True,INCONS,True,,
interest-rate-risk,Interest Rate Risk,True,,True,,
interest-only-strip,interest-only strips,True,,True,,
interinsurance-exchange,interinsurance exchange,True,POINTER,False,POINTER,POINTER
intermediary,intermediary,True,SCOPECONF,True,,
intermediate-life-plants,intermediate-life plants,True,UNDEF,True,,
internal-derivative,internal derivative,True,,True,,
internal-replacement,internal replacement,True,,True,,
internal-reserve-method,internal reserve method,True,,True,,
interval,interval,False,INCONS,True,,
intra-entity-derivative,Intra-entity derivatives,True,,True,,
intrinsic-value,intrinsic value,True,,True,,
inventory,Inventory,True,NONAUTH,True,,
investee,investee,True,,True,,
investing-activities,investing activities,True,,True,,
investment-contracts,investment contracts,True,,True,,
investment-fund-option,investment fund options,True,,True,,
investment-yield,investment yield,True,,True,,
investor,investor,True,,True,,
involuntary-pools,involuntary pools,True,,True,,
issuance-of-financial-statements,Issuance of Financial Statements,False,POINTER,False,POINTER,POINTER
issued-issuance-or-issuing-of-an-equity-instrument,"Issued, Issuance, or Issuing of an Equity Instrument",True,,True,,
issuer,issuer,True,,True,,
issuer-s-equity-shares,issuer's equity shares,True,,True,,
joint-activity,joint activity,True,,True,,
joint-and-several-liability,joint and several,True,,True,MALFORMED,
joint-control,joint control,False,MALFORMED,True,,
joint-costs,joint costs,True,,True,,
joint-venture,Joint Venture,True,,True,CIRC,CIRC
junk-bonds,junk bonds,True,POINTER,True,POINTER,CIRC;POINTER
kick-out-rights-vie-definition,Kick-Out Rights (VIE definition),True,,True,,
kick-out-rights-voting-interest-entity-definition,Kick-Out Rights (Voting Interest Entity definition),True,,True,,
land-development-costs,Land Development Costs,True,MALFORMED,True,CIRC,CIRC
lapse-rate,Lapse rate,True,,True,,
lattice-model,lattice model,True,,False,CIRC,CIRC
lead-interest,Lead Interest,True,CIRC,False,CIRC,CIRC
lease,Lease,True,,True,,
lease-inception,lease inception,True,,True,,
lease-liability,Lease Liability,True,,True,,
lease-modification,Lease Modification,True,,True,,
lease-payments,Lease Payments,True,POINTER,False,POINTER,POINTER
lease-receivable,Lease Receivable,True,,True,,
lease-term,Lease Term,True,,True,,
legal-entity,Legal Entity,True,,True,,
legal-notification-period,legal notification period,True,,True,,
legal-obligation,Legal obligations,True,,True,,
lending-activities,lending activities,True,,True,,
lessee,Lessee,True,,True,,
lessor,Lessor,True,,True,,
level-1-inputs,Level 1 Inputs,True,,True,,
level-2-inputs,Level 2 Inputs,True,,True,,
level-3-inputs,Level 3 Inputs,True,,True,,
leveraged-lease,Leveraged Lease,False,STALE;UNDEF,True,STALE,
liability-for-claim-adjustment-expenses,liability for claim adjustment expenses,True,,True,,
liability-for-future-policy-benefits,Liability for Future Policy Benefits,True,,True,,
liability-for-unpaid-claims,liability for unpaid claims,True,,True,,
liability-issued-with-an-inseparable-third-party-credit-enhancement,Liability Issued with an Inseparable Third-Party Credit Enhancement,True,MALFORMED,True,,
libor-swap-rate,LIBOR Swap Rate,True,POINTER;STALE,False,POINTER,DANGLING;POINTER
license-agreement,License Agreement,False,HOMONYM,True,,
license-agreements,licensing agreement,False,HOMONYM,True,MALFORMED,
life-insurance-entity,life insurance entity,True,,True,,
life-settlement-contract,life settlement contract,True,,True,,
life-annuity-and-health-insurance-entities,"life, annuity, and health insurance entities",True,MALFORMED,True,HOMONYM,
life-contingent-payments,life-contingent payments,True,,True,,
limited-life-land-development-costs,Limited Life Land Development Costs,False,POINTER,False,POINTER,POINTER
limited-partnership,limited partnership,True,,True,,
limited-payment-contracts,Limited-payment contracts,True,,True,,
line-of-credit-arrangement,Line of Credit Arrangement,True,,True,,
liquidating-bank,liquidating bank,True,,True,,
liquidation,Liquidation,True,,True,,
liquidation-method,liquidation method,True,,True,,
liquidity,liquidity,True,,True,MALFORMED,
livestock,livestock,True,,True,,
loan,loan,True,,True,,
loan-commitment,Loan Commitment,True,,True,,
loan-origination-fees,loan origination fees,False,HOMONYM,True,,
loan-participation,loan participation,True,,True,,
loan-syndication,Loan syndications,True,,True,,
local-currency,local currency,True,,True,,
lock-box-arrangement,lock-box arrangement,True,,True,,
lock-up-options,Lock-up options,True,,True,,
london-interbank-offered-rate-swap-rate,London Interbank Offered Rate (LIBOR),False,INCONS;MALFORMED;PENDING;STALE,False,MALFORMED;PENDING;STALE,DANGLING;PENDING;STALE
london-interbank-offered-rate-libor-swap-rate,London Interbank Offered Rate (LIBOR) Swap Rate,True,,True,,
long-term-care-benefit,long-term care benefit,True,,True,,
long-term-contracts,long-term contracts,False,POINTER,False,NONAUTH;POINTER,POINTER
long-term-obligations,long-term obligations,True,,True,,
loss,Loss,False,POINTER,False,POINTER,POINTER
loss-contingency,Loss Contingency,True,,True,,
lump-sum-contract,Lump-Sum Contract,False,POINTER,False,CIRC;POINTER,CIRC;POINTER
maintenance,maintenance,True,,True,,
maintenance-costs,maintenance costs,True,,True,,
make-whole-provision,make-whole provision,True,,True,,
management,management,True,,True,,
management-and-general-activities,Management and General Activities,True,CIRC,False,CIRC,CIRC
mandatorily-redeemable-financial-instrument,mandatorily redeemable financial instruments,True,,True,,
market,market,False,INCONS,True,HOMONYM,HOMONYM
market-condition,market,False,MALFORMED,True,HOMONYM;MALFORMED,HOMONYM
market-approach,Market Approach,True,,True,,
market-participants,Market Participants,True,,True,CIRC,CIRC
market-risk,Market Risk,True,,True,,
market-risk-benefit,Market Risk Benefit,True,UNDEF,True,,
market-value-annuity,market value annuity,True,,True,,
market-corroborated-inputs,Market-corroborated inputs,True,,True,,
market-related-value-of-plan-assets,market-related value of plan assets,True,CIRC,True,CIRC,CIRC
marketing-cooperative,Marketing cooperatives,True,,True,,
measurement-date,measurement date,True,,True,,
medicare-reimbursement-rates,Medicare reimbursement rates,True,,True,,
medium,medium,True,,True,,
member-of-an-agricultural-cooperative,Member of an Agricultural Cooperative,True,,False,CIRC,CIRC
membership-development-activities,Membership development activities,True,,True,,
merger-date,Merger Date,True,,True,,
merger-of-not-for-profit-entities,Merger of Not-for-Profit Entities,True,,True,,
mineral-interests,mineral interests,True,POINTER,False,POINTER,POINTER
mineral-resource-assets,mineral resource assets,True,STALE,False,STALE,
mineral-rights,mineral rights,True,,True,,
mini-vacation,Mini-Vacation,True,,True,,
minimum-guaranteed-death-benefit,minimum guaranteed death benefit,True,,True,,
minimum-guarantee,minimum guarantees,True,,True,,
minimum-lease-payments,Minimum Lease Payments,False,STALE,True,STALE,
minimum-premium-plan-arrangement,minimum premium plan arrangements,True,,True,,
minimum-revenue-guarantee,minimum revenue guarantee,True,,True,,
mining-assets,mining assets,True,,True,,
mining-entities,mining entities,True,,True,,
modification,Modification,True,,True,,
monetary-assets,Monetary Assets,False,HOMONYM,True,,
monetary-assets-and-liabilities,monetary assets or liabilities,False,HOMONYM,True,,
monetary-liability,monetary liabilities,True,,True,,
monetary-value,monetary value,True,,True,,
money-over-money-lease,Money-over-money,True,,True,UNDEF,
morbidity,morbidity,True,,True,,
mortality,mortality,False,HOMONYM,False,HOMONYM,HOMONYM
mortality-rate,mortality,False,HOMONYM,False,HOMONYM,HOMONYM
mortality-risk,mortality risk,True,,True,,
mortgage-banking-entity,mortgage banking entity,True,,True,,
mortgage-guaranty-insurance-entity,mortgage guaranty insurance entities,True,,True,,
mortgage-backed-securities,mortgage-backed securities,True,,True,CIRC,CIRC
most-advantageous-market,Most Advantageous Market,True,,True,,
motion-picture-films,motion picture films,True,,True,,
multiemployer-plan,Multiemployer Plan,True,,True,,
multiple-employer-plan,Multiple-Employer Plan,True,,True,,
mutual-entity,mutual entities,True,,True,,
natural-expense-classification,Natural Expense Classification,False,PENDING,False,PENDING,DANGLING;PENDING
natural-resources,natural resources,True,,True,,
near-term,near term,True,,True,,
net-amount-at-risk-relating-to-variable-annuity-contracts,Net Amount at Risk (Relating to Variable Annuity Contracts),True,,True,,
net-asset-information,net asset information,True,,True,,
net-asset-value-per-share,net asset value per share,True,,True,,
net-assets,Net Assets,True,,False,CIRC,CIRC
net-assets-available-for-benefits,net assets available for benefits,True,,True,,
net-assets-with-donor-restrictions,Net Assets with Donor Restrictions,True,,False,CIRC,CIRC
net-assets-without-donor-restrictions,Net Assets without Donor Restrictions,True,,False,CIRC,CIRC
net-carrying-amount-of-debt,net carrying amount of the extinguished debt,True,MALFORMED,True,MALFORMED,
net-cash-settlement,net cash settlement,True,,True,,
net-closed-block-liability,net closed block liability,True,CIRC,False,CIRC,CIRC
net-income,net income,False,CIRC,False,CIRC,CIRC
net-income-unitrust,net income unitrust,True,,True,,
net-incurred-claims-cost-by-age,net incurred claims costs,True,MALFORMED,False,MALFORMED;POINTER,
net-investment-in-the-lease,Net Investment in the Lease,True,,True,,
net-investment-in-an-original-loan,net investment in the original loan,True,,True,,
net-level-premium-reserve,net level premium reserve,True,,True,,
net-periodic-pension-cost,Net Periodic Pension Cost,True,STALE,True,,CIRC
net-periodic-postretirement-benefit-cost,net periodic postretirement benefit cost,True,STALE,True,,CIRC
net-premiums,Net Premiums,True,,True,,CIRC
net-realizable-value,Net Realizable Value,True,,True,,
net-share-settlement,net share settlement,True,,True,,
net-worth,Net worth,True,,True,,
network-affiliation-agreement,network affiliation agreements,True,,True,,
new-basis-event,new basis event,True,POINTER,False,POINTER,POINTER
nominee-shareholder,Nominee shareholder,True,,True,,
noncompliance-environmental-credit,Noncompliance Environmental Credit,True,,False,PENDING,PENDING
nonconsenting-class,nonconsenting class,True,,True,,
noncontributory-plan,Noncontributory Plan,True,,True,,
noncontrolling-interest,noncontrolling interest,True,,True,,
nonfinancial-asset,Nonfinancial Asset,True,,True,,
nonforfeiture-benefits,nonforfeiture benefits,True,,True,,
nongovernmental-entity,nongovernmental entities,True,,True,,
nonintegrated-contract-feature,nonintegrated contract features,True,,True,,
nonmanaging-investors,nonmanaging investors,False,DANGLING;POINTER,False,DANGLING;POINTER,DANGLING;POINTER
nonmember-of-an-agricultural-cooperative,Nonmember of an Agricultural Cooperative,False,MALFORMED,True,,
nonmonetary-assets-and-liabilities,nonmonetary assets or liabilities,True,,True,,
nonparticipating-annuity-contract,nonparticipating annuity contract,True,,True,,
nonparticipating-insurance-contract,nonparticipating insurance contracts,True,,True,POINTER,
nonperformance-risk,Nonperformance Risk,True,,True,,
nonprofit-activity,Nonprofit Activity,True,,True,,
nonpublic-entity,Nonpublic Entity,True,,True,,
nonreciprocal-transfer,Nonreciprocal Transfer,True,,True,,
nonrefundable-minimum-guarantee,nonrefundable minimum guarantee,True,,True,,
nonretirement-postemployment-benefits,Nonretirement Postemployment Benefits,True,,True,,
nonutility-generators,nonutility generators,True,,True,,
nonvested-benefit-information,Nonvested benefit information,True,,False,NONAUTH;UNDEF,
nonvested-shares,Nonvested Shares,False,INCONS,True,,
not-for-profit-entity,Not-for-Profit Entity,True,,True,,
notional-amount,notional amount,True,,True,CIRC,CIRC
obligated-to-write,obligated to write,True,,True,,
obligation,Obligation,True,PENDING,False,NONAUTH;PENDING,DANGLING;NONAUTH;PENDING
callable-obligation,obligation callable,True,,True,,
obligations-subject-to-compromise,Obligations subject to compromise,True,,False,INCONS,
observable-inputs,Observable Inputs,True,,True,,
offering-costs,Offering Costs,True,,True,,
oil-and-gas-producing-activities,Oil- and Gas-Producing Activities,True,POINTER,True,POINTER,POINTER
one-time-employee-termination-benefits,One-Time Employee Termination Benefits,True,,True,,
ongoing-economic-interest-in-the-net-assets-of-another,ongoing economic interest in the net assets of the other,True,MALFORMED,True,,
open-year-method,open year method,True,,True,,
operating-activities,operating activities,True,,True,,
operating-cycle,operating cycle,True,,True,,
operating-lease,Operating Lease,False,CIRC;STALE,False,CIRC;STALE,CIRC
operating-segment,operating segment,False,POINTER,False,POINTER,
option,Option,True,SCOPECONF,True,,
orchard,orchard,True,,True,,
orderly-transaction,Orderly Transaction,True,,True,,
ordinary-course-of-business,ordinary course of business,False,POINTER;SCOPECONF,False,POINTER,DANGLING;POINTER
ordinary-income-or-loss,Ordinary Income (or Loss),True,STALE,True,,
original-contract,original contract,True,INCONS,True,,
originator-s-acquisition-cost,originator's acquisition cost,True,INCONS,True,,
orphan-share,orphan share,True,INCONS,True,,
orphan-share-potentially-responsible-party,Orphan Share Potentially Responsible Party,True,,True,,
other-comprehensive-income,other comprehensive income,True,CIRC,False,CIRC,CIRC
other-postemployment-benefits,Other Postemployment Benefits,True,,True,,
other-price-risk,Other Price Risk,True,,True,,
overall-deal,overall deal,True,,True,,
owners,Owners,True,,True,,
owners-association,owners association,True,,True,,
paper-ticket,Paper tickets,True,STALE,True,,
parent,parent,True,,True,,
parity-adjustment,parity adjustment,True,,False,STALE,
participant,Participant,True,,True,,
participating-annuity-contract,participating annuity contract,True,,True,,
participating-insurance,Participating Insurance,True,,True,,
participating-interest,Participating Interest,True,POINTER,False,POINTER,POINTER
participating-potentially-responsible-party,Participating Potentially Responsible Party,True,,True,,
participating-rights-vie-definition,Participating Rights (VIE definition),True,,True,,
participating-rights-voting-interest-entity-definition,Participating Rights (Voting Interest Entity definition),True,,True,,
participating-security,participating security,True,,True,,
participation-costs,participation costs,True,,True,,
participation-right,Participation Right,True,HOMONYM,True,,
participation-rights,participation rights,True,HOMONYM,True,,
patronage,patronage,True,,True,,
patronage-allocation,patronage allocation,True,,True,,
patronage-earnings,patronage earnings,True,,True,,
patrons,Patrons,True,,True,,
pay-related-plan,pay-related plan,True,,True,,
payment-provision,payment provision,True,,True,,
payment-in-kind-bonds,payment-in-kind bonds,True,,True,CIRC,CIRC
payout-phase,Payout Phase,True,,True,,
penalty,Penalty,True,,True,,
pension-benefits,Pension Benefits,True,,True,,
pension-fund,Pension Fund,True,,True,,
per-capita-claims-cost-by-age,per capita claims cost by age,True,,True,,
performance-condition,Performance Condition,False,PENDING,False,PENDING,PENDING
performance-indicator,Performance Indicator,False,UNDEF,True,,
performance-obligation,Performance Obligation,True,,True,,
performance-requirements,Performance Requirements,True,,False,MALFORMED,PENDING
performance-standby-letter-of-credit,Performance standby letters of credit,True,,True,,
period-of-use,Period of Use,True,,True,,
periodic-ratchet-design,periodic ratchet design,False,POINTER,False,POINTER,
permanent-investor,Permanent Investor,True,,True,,
permanent-land-development-costs,Permanent Land Development Costs,False,POINTER,False,POINTER,CIRC;POINTER
perpetual-trust-held-by-a-third-party,perpetual trust held by a third party,True,,True,,
persistency,persistency,True,UNDEF,False,UNDEF,
persistency-bonus,persistency bonus,True,,True,,
petition,petition,True,,True,,
phase,Phase,True,,True,,
phase-in-plan,phase-in plans,True,,True,,
physical-settlement,physical settlement,True,,True,,
plan-administrator,plan administrators,True,,True,,
plan-amendment,Plan Amendment,True,,True,,
plan-assets,Plan Assets,True,,True,,
plan-demographics,plan demographics,True,,True,,
plan-of-demutualization,plan of demutualization,True,,True,,
plan-of-reorganization,Plan of Reorganization,True,,True,,
plan-participant,plan participant,True,,True,,
plan-suspension,plan suspension,True,,True,,
plan-termination,Plan Termination,True,,True,,
pension-benefit-formula,plan's benefit formula,True,,False,HOMONYM;MALFORMED,HOMONYM
plan-s-benefit-formula,plan's benefit formula,True,POINTER,False,DANGLING;HOMONYM;POINTER,DANGLING;HOMONYM;POINTER
planned-unit-development,Planned-unit developments,True,,True,,
plan,plans,True,,True,,
point-to-point-design,point-to-point design,False,POINTER,False,POINTER,
points,points,True,,True,,
policy-account-balance,Policy account balance,True,,True,,
policy-credits,policy credits,True,,True,,
pooled-income-fund,Pooled income funds,True,,True,,
pooling-cooperative,pooling cooperatives,True,,True,,
pools,pools,True,,True,,
portfolio-segment,Portfolio Segment,True,,True,,
postpetition-liabilities,postpetition liabilities,True,,False,UNDEF,
postretirement-benefit-plan,postretirement benefit plan,False,POINTER,False,POINTER,DANGLING;POINTER
postretirement-benefits,Postretirement Benefits,True,,True,,
postretirement-benefits-other-than-pensions,postretirement benefits other than pensions,False,POINTER,False,POINTER,POINTER
postretirement-health-care-benefits,postretirement health care benefits,True,,True,,
potential-common-stock,potential common stock,True,,True,,
potentially-responsible-party,Potentially Responsible Party,False,MALFORMED,True,,
preacquisition-costs,preacquisition costs,True,,True,,
preferred-stock,preferred stock,True,,True,,
preferred-stock-subject-to-mandatory-redemption-requirements-or-whose-redemption-is-outside-the-control-of-the-issuer,Preferred Stock Subject to Mandatory Redemption Requirements or Whose Redemption is Outside the Control of the Issuer,False,POINTER,False,POINTER,POINTER
preferred-stocks-which-are-not-redeemable-or-are-redeemable-solely-at-the-option-of-the-issuer,Preferred Stocks Which Are Not Redeemable or Are Redeemable Solely at the Option of the Issuer,False,POINTER,False,POINTER,POINTER
preliminary-project-stage,preliminary project stage,False,PENDING;STALE,False,PENDING;STALE,PENDING;STALE
prematurity-period,prematurity period,True,,True,,
premium,premium,True,,True,,
premium-tax-offsets,premium tax offsets,True,SELF,True,,
premiums-written,premiums written,True,,True,,
preoperating-costs,Preoperating costs,True,,True,,
prepaid-health-care-services,prepaid health care services,True,,True,,
prepaid-interest-rate-swap,prepaid interest rate swap,True,UNDEF,True,,
prepaid-reinsurance-premiums,prepaid reinsurance premiums,True,,True,,
prepayable,prepayable,True,,True,,
prepetition-liabilities,prepetition liabilities,True,MALFORMED,True,,
present-value,Present Value,True,CIRC,False,CIRC,CIRC
preset-participation-method,Preset participation method,True,,True,,
price-adjustment-theory,price adjustment theory,False,INCONS,True,,
primary-beneficiary,Primary Beneficiary,True,,True,,
principal-market,Principal Market,True,,True,,
principal-owners,principal owners,True,,True,,
principal-to-principal-market,Principal-to-Principal Market,True,,True,,
prior-service-cost,Prior Service Cost,True,,True,,
prior-service-costs,prior service costs,False,HOMONYM;POINTER,False,DANGLING;POINTER,POINTER
private-company,Private Company,True,,True,,
private-label-credit-cards,private label credit card,True,,True,,
probable,Probable,False,HOMONYM,False,HOMONYM,HOMONYM
probable-reserves,probable,False,HOMONYM;MALFORMED,False,HOMONYM;MALFORMED,HOMONYM
proceeds,Proceeds,True,,True,,
producer,producer,True,,True,,
product-design,product design,True,,True,,
product-enhancement,product enhancement,True,,True,,
product-financing-arrangement,Product financing arrangements,True,,True,,
product-maintenance-contracts,product maintenance contracts,True,,True,,
product-master,product masters,True,,True,,
production,Production,True,,True,,
production-animals,production animals,True,,True,,
production-costs,Production Costs,True,POINTER,False,POINTER,POINTER
production-phase,production phase,True,,True,,
productive-assets,productive assets,True,,True,,
progeny,progeny,True,,True,,
program-services,program services,True,,True,,
programmatic-investing,Programmatic Investing,True,,True,,
project,project,True,,True,,
project-costs,Project Costs,True,,True,,
projected-benefit-obligation,projected benefit obligation,True,,True,,
promise-to-give,Promise to Give,True,,True,,
promised-amenities,promised amenities,True,,True,,
promissory-estoppel,promissory estoppel,True,NONAUTH,False,NONAUTH,
properties,Properties,True,,False,DANGLING,DANGLING
property-and-casualty-insurance-entity,property and casualty insurance entities,False,INCONS;MALFORMED,True,,
property-and-liability-insurance-entity,Property and liability insurance entities,True,,True,,
proprietary-transactions,proprietary transactions,True,,True,,
prospective-reinsurance,prospective reinsurance,True,,True,,
protection-provisions,protection provisions,True,,True,,
protective-rights-vie-definition,Protective Rights (VIE definition),True,,True,,
protective-rights-voting-interest-entity-definition,Protective Rights (Voting Interest Entity definition),True,,True,,
proven-reserves,proved,False,MALFORMED,False,MALFORMED,
proved-developed-oil-and-gas-reserves,Proved Developed Oil and Gas Reserves,True,,True,,
proved-oil-and-gas-reserves,Proved Oil and Gas Reserves,True,,True,,
proved-properties,Proved properties,True,,True,,
proved-undeveloped-oil-and-gas-reserves,Proved Undeveloped Oil and Gas Reserves,True,,True,,
prepaid-health-care-services-providers,providers of prepaid health care services,True,,True,,
public-business-entity,Public Business Entity,True,,True,,
public-debt-issuance,public debt issuance,True,,True,,
public-entity,Public Entity,False,HOMONYM,True,,
publicly-traded-company,Publicly traded companies,True,,True,,
publicly-traded-entity-or-public-entity,publicly traded entity,False,HOMONYM,False,MALFORMED;UNDEF,
purchased-call-option,purchased call options,True,,True,,
purchased-financial-assets-with-credit-deterioration,Purchased Financial Assets with Credit Deterioration,True,,True,,
purchased-seasoned-loans,purchased seasoned loans,False,POINTER,False,MALFORMED;POINTER,PENDING
purchaser-s-incremental-borrowing-rate,purchaser's incremental borrowing rate,True,,True,,
purchasing-cooperative,purchasing cooperative,True,,True,,
purchasing-power-gain-or-loss,Purchasing power gain or loss,True,,True,,
pushdown-accounting,Pushdown Accounting,True,,True,,
put-option,put option,True,,True,,
qualified-assets,Qualified assets,False,POINTER,False,POINTER,POINTER
rabbi-trusts,rabbi trust,True,UNDEF,True,,
ratchet-death-benefit,Ratchet death benefit,True,,True,,
rate-implicit-in-the-lease,Rate Implicit in the Lease,True,,True,,
reacquisition-price-of-debt,Reacquisition Price of Debt,True,,True,,
readily-convertible-to-cash,Readily Convertible to Cash,True,NONAUTH;PENDING,False,NONAUTH;PENDING,NONAUTH;PENDING
readily-determinable-fair-value,Readily Determinable Fair Value,True,STALE,True,,
real-estate-investment-trust,real estate investment trusts,True,,True,,
real-estate-venture,real estate venture,False,INCONS;UNDEF,True,,
reasonably-possible,Reasonably Possible,True,,True,,
recalcitrant-potentially-responsible-party,Recalcitrant Potentially Responsible Party,True,,True,,
recipient-entity,recipient entity,True,,True,,
reciprocal-exchange,Reciprocal exchange,True,,True,,
reclassification-adjustments,reclassification adjustments,True,,True,,
reclassification-of-net-assets,Reclassification of Net Assets,True,,True,,
record-master,record masters,True,,True,,
record-share-method,record-share,True,,True,,
recorded-investment,Recorded Investment,True,STALE,True,,
recourse,recourse,True,,True,,
recoverable-amount,recoverable amount,True,,True,STALE,
registration-payment-arrangement,Registration Payment Arrangement,True,,True,,
regular-way-security-trades,Regular-way security trades,True,,True,,
regular-way-trades,regular-way trades,True,STALE,True,,
regulatory-assets-and-regulatory-liabilities,regulatory assets and regulatory liabilities,True,,False,DANGLING,DANGLING
reimbursement-plan,reimbursement plan,True,,True,,
reinsurance,Reinsurance,True,,True,,
reinsurance-recoverable,Reinsurance Recoverable,True,,True,,
reinsurer,reinsurer,True,,True,,
related-parties,related-party,True,,True,,
relative-fair-value-before-construction,relative fair value before construction,True,,True,,
relative-sales-value-method,relative sales value method,True,,True,,
release,release,True,,True,MALFORMED,
reload-feature-and-reload-option,Reload Feature and Reload Option,True,,True,,
remainder-interest,remainder interest,True,,False,CIRC,CIRC
remeasurement-event,Remeasurement Event,True,,True,,
remedial-action,remedial action,True,,True,,
remedial-investigation-feasibility-study,remedial investigation-feasibility study,True,,True,,
remote,Remote,True,,True,,
removal-action,removal actions,True,,True,,
reorganization,reorganization,False,INCONS,True,SCOPECONF,
reorganization-items,reorganization items,False,INCONS,True,,
reorganization-proceeding,reorganization proceeding,True,,True,,
reorganization-value,Reorganization Value,True,UNDEF,True,,
replaced-contract,replaced contract,True,,True,,
replacement-award,replacement award,True,,True,,
replacement-contract,replacement contract,True,,True,,
reporting-currency,reporting currency,True,,False,CIRC,CIRC
